label,p1,raw_cts,raw_curr,p2,p3,p4,p5,p6,p7
AC180889,6,681,20.46950122,19.500011,0.273347655,1.062250176,2.053844988,0.458393194,TRUE
AC180889,7,665,20.34945584,19.510862,0.268350708,1.063126472,1.960351852,0.45991029,TRUE
AC180889,8,659,20.22851741,19.501742,0.267644493,1.063158527,1.893660405,0.460686088,TRUE
AC180889,9,679,20.33320271,19.50196,0.274344388,1.063652246,1.891541862,0.460754177,TRUE
AC180889,10,660,20.69703834,19.493232,0.262097113,1.063691649,1.911760486,0.461330543,TRUE
AC180889,11,623,20.7608306,19.498864,0.246572347,1.064107453,1.826373845,0.460785507,TRUE
AC180889,12,699,21.1599235,19.494449,0.2714954,1.063028998,1.71116272,0.461662522,TRUE
AC180889,13,675,20.91865607,19.506885,0.265028407,1.063021622,1.728082559,0.461934308,TRUE
AC180889,14,640,20.82379321,19.495007,0.252584731,1.063497698,1.747738121,0.462231088,TRUE
AC180889,15,663,20.85374497,19.501693,0.261196596,1.063866624,1.764866123,0.46290043,TRUE
AC180889,16,700,21.13914497,19.49384,0.272159553,1.064308704,1.794099189,0.463541699,TRUE
AC180889,17,638,21.49305732,19.504348,0.243838008,1.06423416,1.82997359,0.463589259,TRUE
AC180889,18,656,21.67896105,19.495489,0.248680424,1.063636662,1.859299885,0.463791427,TRUE
AC180889,19,683,21.71588836,19.5020479,0.258388536,1.063476309,1.86607953,0.46365263,TRUE
AC180889,20,712,21.82880938,19.503225,0.267950068,1.063773624,1.885619265,0.463678537,TRUE
AC180927,1,589,17.31229025,19.512454,0.279356792,1.071557314,1.568394889,0.456846404,TRUE
AC180927,2,612,18.65044327,19.511246,0.26945585,1.065042248,1.473419448,0.46095551,TRUE
AC180927,3,643,19.15848999,19.510902,0.275602217,1.063864319,1.460012147,0.462472604,TRUE
AC180927,4,584,19.24274146,19.4924019,0.249454247,1.064178502,1.449621335,0.462375119,TRUE
AC180927,5,592,19.39106331,19.511481,0.250691844,1.064169546,1.451598992,0.4624117,TRUE
AC180927,6,611,19.18841294,19.501112,0.261609274,1.063521612,1.432066289,0.461991987,TRUE
AC180927,7,627,19.39136302,19.491992,0.265774517,1.065378545,1.451422066,0.461929941,TRUE
AC180927,8,620,19.42294206,19.510815,0.262126918,1.064137668,1.456005558,0.462477737,TRUE
AC180927,9,659,19.43426956,19.500678,0.2785979,1.064057219,1.462646115,0.462301661,TRUE
AC180927,10,622,19.45668908,19.492026,0.262769419,1.063858988,1.472520448,0.462306084,TRUE
AC180927,11,624,19.49098565,19.510683,0.262898842,1.063827418,1.482390793,0.462284903,TRUE
AC180927,12,604,19.51047596,19.501898,0.254332905,1.06370051,1.48740264,0.462058149,TRUE
AC180927,13,610,19.51145397,19.51143,0.256721037,1.063708101,1.496243322,0.462005257,TRUE
AC180927,14,626,19.46315267,19.5102249,0.264124827,1.06368319,1.505034564,0.462011516,TRUE
AC180927,15,626,19.40281828,19.503566,0.265036599,1.063591297,1.513187497,0.461824985,TRUE
AC180965,1,621,19.09905354,19.499581,0.267155938,1.07096088,1.561146653,0.453654409,TRUE
AC180965,2,614,20.01284999,19.500941,0.252065971,1.061594619,1.461554465,0.458464748,TRUE
AC180965,3,680,20.02508556,19.50106,0.278988737,1.064347825,1.422347595,0.457832466,TRUE
AC180965,4,596,20.26148754,19.501645,0.24166516,1.063167424,1.418063859,0.458894501,TRUE
AC180965,5,638,20.23686191,19.510459,0.258893044,1.063048447,1.407227777,0.458716387,TRUE
AC180965,6,627,19.98116827,19.50148,0.25780388,1.063148242,1.385427166,0.457885074,TRUE
AC180965,7,621,20.24416303,19.501343,0.252021511,1.062961565,1.403784447,0.458351268,TRUE
AC180965,8,598,19.79809976,19.502189,0.248144511,1.061064764,1.374192952,0.456401969,TRUE
AC180965,9,655,20.03536,19.50134,0.268590132,1.065322304,1.397508173,0.456127445,TRUE
AC180965,10,580,19.85867413,19.502022,0.239943207,1.062172647,1.384075605,0.456349836,TRUE
AC180965,11,666,20.29488344,19.500896,0.269614633,1.062507504,1.417277852,0.457944009,TRUE
AC180965,12,631,19.98059996,19.492221,0.259579185,1.060571456,1.395367118,0.457679489,TRUE
AC180965,13,646,19.89342517,19.501436,0.266788262,1.062674237,1.391486286,0.45757134,TRUE
AC180965,14,557,19.75850563,19.501543,0.231602094,1.063685785,1.38821217,0.457003923,TRUE
